Frame,vesicle_count,total_peptides_in_vesicles,avg_vesicle_size
1010,8,5369,671.1
1011,13,9105,700.4
1012,13,9046,695.8
1013,9,7680,853.3
1014,8,6976,872.0
1015,9,7172,796.9
1016,10,7639,763.9
1017,8,6814,851.8
1018,6,6176,1029.3
1019,7,6570,938.6
1020,10,7751,775.1
1021,9,7175,797.2
1022,9,7060,784.4
1023,9,7022,780.2
1024,8,6447,805.9
1025,10,6904,690.4
1026,11,7264,660.4
1027,11,7075,643.2
1028,11,7292,662.9
1029,11,7812,710.2
1030,11,7891,717.4
1031,12,8103,675.2
1032,13,8438,649.1
1033,15,8506,567.1
1034,13,8495,653.5
1035,14,8612,615.1
1036,13,8207,631.3
1037,13,8287,637.5
1038,12,8436,703.0
1039,13,8273,636.4
1040,12,8212,684.3
1041,15,9526,635.1
1042,13,8577,659.8
1043,12,8200,683.3
1044,14,9433,673.8
1045,10,6807,680.7
1046,11,7000,636.4
1047,11,6999,636.3
1048,10,7890,789.0
1049,11,8138,739.8
1050,9,7350,816.7
1051,10,7484,748.4
1052,10,7479,747.9
1053,12,7756,646.3
1054,11,7377,670.6
1055,12,7640,636.7
1056,11,7397,672.5
1057,12,7596,633.0
1058,12,7973,664.4
1059,9,6035,670.6
1060,10,7614,761.4
1061,10,7360,736.0
1062,11,7443,676.6
1063,13,8279,636.8
1064,13,8252,634.8
1065,10,5993,599.3
1066,11,6623,602.1
1067,10,6389,638.9
1068,11,5950,540.9
1069,10,5943,594.3
1070,14,8139,581.4
1071,14,8406,600.4
1072,13,7531,579.3
1073,14,8232,588.0
1074,13,8312,639.4
1075,11,7454,677.6
1076,11,7434,675.8
1077,11,7482,680.2
1078,11,7416,674.2
1079,13,7544,580.3
1080,15,8468,564.5
1081,15,8327,555.1
1082,14,8148,582.0
1083,11,7397,672.5
1084,12,7837,653.1
1085,12,7863,655.2
1086,11,8003,727.5
1087,10,7285,728.5
1088,9,7169,796.6
1089,10,7373,737.3
1090,11,7486,680.5
1091,11,7487,680.6
1092,11,7469,679.0
1093,10,7438,743.8
1094,12,7637,636.4
1095,12,7642,636.8
1096,14,7892,563.7
1097,14,7889,563.5
1098,10,7715,771.5
1099,11,7280,661.8
1100,13,7856,604.3
1101,13,7827,602.1
1102,15,8375,558.3
1103,13,7854,604.2
1104,12,7341,611.8
1105,13,7848,603.7
1106,13,7779,598.4
1107,10,7065,706.5
1108,9,6885,765.0
1109,11,7241,658.3
1110,11,7224,656.7
1111,12,7620,635.0
1112,11,7469,679.0
1113,11,7531,684.6
